iter	Accuracy	MultiClass
644	1	0.1123270167
645	1	0.1120269442
646	1	0.111819562
647	1	0.1115037965
648	1	0.1112891032
649	1	0.1110376885
650	1	0.1108269703
651	1	0.110746423
652	1	0.1104992832
653	1	0.1103229567
654	1	0.1101211008
655	1	0.1098252109
656	1	0.1096139811
657	1	0.1093009717
658	1	0.1090787088
659	1	0.108930084
660	1	0.1087447953
661	1	0.1084400197
662	1	0.1082426034
663	1	0.1081124488
664	1	0.10782275
665	1	0.1076734204
666	1	0.1073848992
667	1	0.1072517623
668	1	0.10697686
669	1	0.1068312866
670	1	0.106642258
671	1	0.1064494673
672	1	0.1062524039
673	1	0.1060404704
674	1	0.1059542306
675	1	0.1057548697
676	1	0.1055321261
677	1	0.1053016468
678	1	0.1051975058
679	1	0.1049621669
680	1	0.1047049129
681	1	0.1045289561
682	1	0.1042202701
683	1	0.1039722795
684	1	0.1036570061
685	1	0.1034981153
686	1	0.1032997799
687	1	0.1031592147
688	1	0.1029189854
689	1	0.1027049767
690	1	0.1024334258
691	1	0.1021202996
692	1	0.101918305
693	1	0.1016233071
694	1	0.1014283554
695	1	0.1012280106
696	1	0.1010653239
697	1	0.100913186
698	1	0.1007679022
699	1	0.1004914646
700	1	0.1003870429
701	1	0.100178274
702	1	0.1000700112
703	1	0.09975775434
704	1	0.09966244405
705	1	0.09944622084
706	1	0.09921476023
707	1	0.09901141885
708	1	0.09878861448
709	1	0.09856962188
710	1	0.098350739
711	1	0.09818818858
712	1	0.09810396761
713	1	0.09780604749
714	1	0.09766666689
715	1	0.09750081381
716	1	0.09722267791
717	1	0.09695891164
718	1	0.09673160489
719	1	0.09663017061
720	1	0.09650772875
721	1	0.09629474513
722	1	0.09605356886
723	1	0.09590127875
724	1	0.09558458319
725	1	0.09532380588
726	1	0.09518889192
727	1	0.09505404727
728	1	0.09489912553
729	1	0.09476910681
730	1	0.09466678675
731	1	0.09452729176
732	1	0.09433312693
733	1	0.0942003419
734	1	0.09401998232
735	1	0.09386274692
736	1	0.0936540778
737	1	0.0935277008
738	1	0.09329187707
739	1	0.09315313325
740	1	0.09303561474
741	1	0.09286159788
742	1	0.09264089801
743	1	0.09238132501
744	1	0.09225533251
745	1	0.09209315907
746	1	0.09198012548
747	1	0.09180482459
748	1	0.09159379638
749	1	0.09147425055
750	1	0.09124691519
751	1	0.09107737778
752	1	0.09082680987
753	1	0.09065628329
754	1	0.09042430257
755	1	0.0902387528
756	1	0.09009260465
757	1	0.0899354245
758	1	0.0897332578
759	1	0.0895256835
760	1	0.08934700401
761	1	0.08923608336
762	1	0.0891087649
763	1	0.08903026184
764	1	0.08888582737
765	1	0.08873113438
766	1	0.08854704961
767	1	0.08845797015
768	1	0.08827111377
769	1	0.08810272414
770	1	0.08787299369
771	1	0.0877209585
772	1	0.08756597703
773	1	0.08735206033
774	1	0.0872043392
775	1	0.0870038111
776	1	0.08686159278
777	1	0.08665850659
778	1	0.08654618385
779	1	0.08648714929
780	1	0.08635223988
781	1	0.08618271475
782	1	0.08594180763
783	1	0.08573860073
784	1	0.08555222548
785	1	0.08533568686
786	1	0.08523016306
787	1	0.08508017383
788	1	0.08502140379
789	1	0.08485151037
790	1	0.08471142799
791	1	0.08455453764
792	1	0.08447412114
793	1	0.08427932912
794	1	0.08414567465
795	1	0.0839135357
796	1	0.08369162818
797	1	0.08351805606
798	1	0.08342980339
799	1	0.08328482746
800	1	0.08314024661
801	1	0.08303969294
802	1	0.08287213587
803	1	0.08266651308
804	1	0.08258453344
805	1	0.0824530373
806	1	0.08231356498
807	1	0.08214781385
808	1	0.08206214325
809	1	0.08187243609
810	1	0.08175246557
811	1	0.08158452632
812	1	0.08144639564
813	1	0.08128088282
814	1	0.08113974856
815	1	0.08097725855
816	1	0.08082424388
817	1	0.0806566892
818	1	0.08059658447
819	1	0.08045730644
820	1	0.08035557351
821	1	0.08019023095
822	1	0.08012711017
823	1	0.08000700041
824	1	0.07994585879
825	1	0.07986364089
826	1	0.07966808265
827	1	0.0795512522
828	1	0.0794149756
829	1	0.07929538487
830	1	0.07921048837
831	1	0.07906580127
832	1	0.078905984
833	1	0.07875923012
834	1	0.07857794887
835	1	0.0784943107
836	1	0.07835804965
837	1	0.07817769012
838	1	0.07804166049
839	1	0.07787568433
840	1	0.07769527787
841	1	0.07754184815
842	1	0.07741207456
843	1	0.07728691883
844	1	0.07716671764
845	1	0.07701830884
846	1	0.07686806232
847	1	0.07674697787
848	1	0.07667914928
849	1	0.07662943072
850	1	0.07653778217
851	1	0.07635672468
852	1	0.07624586956
853	1	0.07612520678
854	1	0.0760644225
855	1	0.07588583527
856	1	0.07574810539
857	1	0.07565561255
858	1	0.07545551307
859	1	0.07531906684
860	1	0.07516211975
861	1	0.07499980377
862	1	0.07485754079
863	1	0.07468762052
864	1	0.07458858377
865	1	0.07448191754
866	1	0.07439489794
867	1	0.07425838193
868	1	0.07413065661
869	1	0.07403942325
870	1	0.07392953795
871	1	0.07383743507
872	1	0.07372920473
873	1	0.07358132559
874	1	0.0734531783
875	1	0.07331846186
876	1	0.07326861819
877	1	0.07315953073
878	1	0.07305642308
879	1	0.07294129912
880	1	0.07282895029
881	1	0.07272592642
882	1	0.07260504247
883	1	0.07247244266
884	1	0.07228916525
885	1	0.072143528
886	1	0.07207457605
887	1	0.07195936964
888	1	0.07182091271
889	1	0.07174729227
890	1	0.07166320738
891	1	0.07153793364
892	1	0.07136711678
893	1	0.07125378873
894	1	0.07114972709
895	1	0.07100176344
896	1	0.07092257531
897	1	0.07081510483
898	1	0.07064793146
899	1	0.07056699074
900	1	0.07049836139
901	1	0.0703592221
902	1	0.07026587176
903	1	0.07016029045
904	1	0.07004832325
905	1	0.06997474582
906	1	0.06988144991
907	1	0.06982784302
908	1	0.06976160654
909	1	0.06967497488
910	1	0.06956162084
911	1	0.06952220249
912	1	0.06940975793
913	1	0.06934936974
914	1	0.06926067763
915	1	0.069103462
916	1	0.06902605248
917	1	0.06887834805
918	1	0.06867976489
919	1	0.06852168686
920	1	0.06841052699
921	1	0.06836144219
922	1	0.06824918018
923	1	0.06812700005
924	1	0.06802402609
925	1	0.06796108972
926	1	0.06788334782
927	1	0.06777381773
928	1	0.06764969756
929	1	0.06757441341
930	1	0.06749415354
931	1	0.06743661311
932	1	0.06730210539
933	1	0.06722340317
934	1	0.06712314873
935	1	0.06696345309
936	1	0.06685323439
937	1	0.06672832218
938	1	0.06663106978
939	1	0.06651926571
940	1	0.06640993011
941	1	0.0663447223
942	1	0.06624487524
943	1	0.06612309785
944	1	0.0660182033
945	1	0.06595579472
946	1	0.06583441426
947	1	0.06574047911
948	1	0.06567200501
949	1	0.06553747813
950	1	0.06546153822
951	1	0.06532337358
952	1	0.06524056637
953	1	0.06520868914
954	1	0.06509701728
955	1	0.06498057141
956	1	0.06493228336
957	1	0.06480738092
958	1	0.06471545354
959	1	0.06466142463
960	1	0.06452679277
961	1	0.06445456859
962	1	0.06431427358
963	1	0.06421990901
964	1	0.06416468444
965	1	0.06403292294
966	1	0.06395643987
967	1	0.06387895901
968	1	0.06378845484
969	1	0.06368666433
970	1	0.06357543146
971	1	0.06349643201
972	1	0.0634328889
973	1	0.06336940574
974	1	0.06327817501
975	1	0.06317089239
976	1	0.06307297337
977	1	0.06297304083
978	1	0.06288601908
979	1	0.06278286614
980	1	0.06274976898
981	1	0.06263590071
982	1	0.06259447949
983	1	0.06251225614
984	1	0.06244482217
985	1	0.06230675723
986	1	0.06218357915
987	1	0.06212328448
988	1	0.06208046137
989	1	0.06199471998
990	1	0.06190135243
991	1	0.06182757585
992	1	0.06172323039
993	1	0.06164549535
994	1	0.06153724631
995	1	0.06150311107
996	1	0.06134128641
997	1	0.06125446164
998	1	0.06116776036
999	1	0.06111150817
